_id,assessmentYear,ruleTemplate,status,name,section,residentStatus,assesseeType,relationshipCode,deductionType,minAge,maxAge,maxDeduction
80D_0_1,2017,80D_0,active,Payment of Medical Insurance - Self,80D,Resident,Individual,Self,Medical Insurance,1,59,25000
80D_0_2,2017,80D_0,active,Payment of Medical Insurance - Wife,80D,Resident,Individual,Wife,Medical Insurance,1,59,25000
80D_0_3,2017,80D_0,active,Payment of Medical Insurance - Father,80D,Resident,Individual,Father,Medical Insurance,1,59,25000
80D_0_4,2017,80D_0,active,Payment of Medical Insurance - Mother,80D,Resident,Individual,Mother,Medical Insurance,1,59,25000
80D_0_5,2017,80D_0,active,Payment of Medical Insurance - Senior Ctzn - Self,80D,Resident,Individual,Self,Medical Insurance,60,79,30000
80D_0_6,2017,80D_0,active,Payment of Medical Insurance - Senior Ctzn - Wife,80D,Resident,Individual,Wife,Medical Insurance,60,79,30000
80D_0_7,2017,80D_0,active,Payment of Medical Insurance - Senior Ctzn - Father,80D,Resident,Individual,Father,Medical Insurance,60,79,30000
80D_0_8,2017,80D_0,active,Payment of Medical Insurance - Senior Ctzn - Mother,80D,Resident,Individual,Mother,Medical Insurance,60,79,30000
80D_0_9,2017,80D_0,active,Payment of Medical Insurance - Super Senior Ctzn - Self,80D,Resident,Individual,Self,Medical Insurance,80,150,30000
80D_0_10,2017,80D_0,active,Payment of Medical Insurance - Super Senior Ctzn - Wife,80D,Resident,Individual,Wife,Medical Insurance,80,150,30000
80D_0_11,2017,80D_0,active,Payment of Medical Insurance - Super Senior Ctzn - Father,80D,Resident,Individual,Father,Medical Insurance,80,150,30000
80D_0_12,2017,80D_0,active,Payment of Medical Insurance - Super Senior Ctzn - Mother,80D,Resident,Individual,Mother,Medical Insurance,80,150,30000
80D_0_13,2017,80D_0,active,Payment of Medical Expenses - Self,80D,Resident,Individual,Self,Health Checkup,1,150,5000
80D_0_14,2017,80D_0,active,Payment of Medical Expenses - Wife,80D,Resident,Individual,Wife,Health Checkup,1,150,5000
80D_0_15,2017,80D_0,active,Payment of Medical Expenses - Father,80D,Resident,Individual,Father,Health Checkup,1,150,5000
